01	02	03	04	05	06	07	08	09	10	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[3-5]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[3-5]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[0-2]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[3-5]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[0-2]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[0-2]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[0-2]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[3-5]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[3-5]	[3-5]	[0-5]	[0-5]	[3-5]	[0-2]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[0-2]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
[0-5]	[0-2]	[3-5]	[3-5]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[3-5]	[0-2]	[0-2]	[0-5]	[0-5]	[0-2]	[3-5]	[0-5]	
[0-5]	[3-5]	[0-2]	[3-5]	[3-5]	[0-5]	[0-5]	[0-2]	[0-2]	[0-5]	
